answer1;answer2;answer3;correctanswer;historyNr;wordNr
raute;kreis;stern;stern;1;1
kreis;stern;raute;stern;1;2
raute;stern;kreis;stern;1;3
stern;kreis;raute;stern;1;4
kreis;raute;stern;stern;1;5
kreis;raute;stern;raute;2;6
raute;kreis;stern;raute;2;7
stern;kreis;raute;raute;2;8
stern;raute;kreis;raute;2;9
kreis;stern;raute;raute;2;10
kreis;stern;raute;kreis;3;11
stern;kreis;raute;kreis;3;12
kreis;raute;stern;kreis;3;13
raute;stern;kreis;kreis;3;14
raute;kreis;stern;kreis;3;15
stern;kreis;raute;stern;4;16
kreis;raute;stern;stern;4;17
stern;raute;kreis;stern;4;18
kreis;raute;stern;stern;4;19
raute;stern;kreis;stern;4;20
stern;kreis;raute;raute;5;21
kreis;raute;stern;raute;5;22
raute;stern;kreis;raute;5;23
raute;kreis;stern;raute;5;24
stern;raute;kreis;raute;5;25
raute;kreis;stern;kreis;6;26
kreis;raute;stern;kreis;6;27
stern;raute;kreis;kreis;6;28
raute;stern;kreis;kreis;6;29
stern;kreis;raute;kreis;6;30
