imagePath;correctWord;word1;word2;word3;word4;
assets/lernverlauf/02-lesen/Nominalgruppen/die_Schule_unter_dem_Tisch.png;die Schule unter dem Tisch;die Schere unter dem Tisch;die Schere auf dem Tisch;die Schule unter dem Tisch;die Schule auf dem Tisch;
assets/lernverlauf/02-lesen/Nominalgruppen/der_muede_Riese.png;der müde Riese;der müde Riese;der kleine Riese;die müde Wiese;die kleine Wiese;
assets/lernverlauf/02-lesen/Nominalgruppen/der_Esel_unter_dem_Wasser.png;der Esel unter dem Wasser;die Ente unter dem Wasser;die Ente auf dem Wasser;der Esel unter dem Wasser;der Esel auf dem Wasser;
assets/lernverlauf/02-lesen/Nominalgruppen/der_Kater_neben_dem_Stuhl.png;der Kater vor dem Sessel;der Kater vor dem Sessel;der Kater unter dem Sessel;die Kugel vor dem Sessel;die Kugel unter dem Sessel;
assets/lernverlauf/02-lesen/Nominalgruppen/der_blaue_Kuchen.png;der blaue Kuchen;die blaue Kugel;der blaue Kuchen;die weiße Kugel;der blaue Kegel;
assets/lernverlauf/02-lesen/Nominalgruppen/der_Strand_mit_den_Felsen.png;der Strand mit den Felsen;der Stock mit den Felsen;der Stock auf den Felsen;der Strand mit den Felsen;der Strand ohne die Felsen;
assets/lernverlauf/02-lesen/Nominalgruppen/die_rote_Zange.png;die rote Zange;die rote Zunge;die rote Zange;der rote Zapfen;die blaue Zange;
assets/lernverlauf/02-lesen/Nominalgruppen/die_froehliche_Maske.png;die fröhliche Maske;die fröhliche Maske;der fröhliche Maler;die dunkle Maske;der dunkle Maler;
assets/lernverlauf/02-lesen/Nominalgruppen/die_schwarze_Rose.png;die schwarze Rose;die rote Rose;die schwarze Rose;die schwarze Dose;die schwarze Hose;
assets/lernverlauf/02-lesen/Nominalgruppen/die_Ziege_vor_dem_Haus.png;die Ziege vor dem Haus;die Wiese vor dem Haus;die Wiese hinter dem Haus;die Ziege vor dem Haus;die Ziege hinter dem Haus;
assets/lernverlauf/02-lesen/Nominalgruppen/die_Lampe_neben_dem_Bett.png;die Lampe neben dem Bett;die Lampe neben dem Bett;die Lampe auf dem Bett;die Linse neben dem Bett;die Linse auf dem Bett;
assets/lernverlauf/02-lesen/Nominalgruppen/das_kalte_Gras.png;das kalte Gras;das klare Glas;das klare Gras;das kalte Glas;das kalte Gras;
assets/lernverlauf/02-lesen/Nominalgruppen/die_grosse_Nase.png;die große Nase;die rote Nase;die große Nase;die rote Hose;die große Hose;
assets/lernverlauf/02-lesen/Nominalgruppen/die_Huehner_hinter_dem_Stall.png;die Hühner hinter dem Stall;die Hühner hinter dem Stall;die Hühner vor dem Stall;die Höhle hinter dem Stall;die Höhle vor dem Stall;
assets/lernverlauf/02-lesen/Nominalgruppen/Kuchen_auf_dem_Bett.png;der Kuchen auf dem Bett;die Kugel unter dem Bett;die Kugel auf dem Bett;der Kuchen auf dem Bett;der Kuchen unter dem Bett;
assets/lernverlauf/02-lesen/Nominalgruppen/die_Baeume_neben_der_Strasse.png;die Bäume neben der Straße;die Bäume neben der Straße;die Bäume neben dem See;die Beine neben der Straße;die Beine neben dem See;
assets/lernverlauf/02-lesen/Nominalgruppen/die_muede_Ziege.png;die müde Ziege;die müde Wiese;die dunkle Wiese;die müde Ziege;die dunkle Ziege;
assets/lernverlauf/02-lesen/Nominalgruppen/der_boese_Jaeger.png;der böse Jäger;der fröhliche Junge;der böse Junge;der fröhliche Jäger;der böse Jäger;
assets/lernverlauf/02-lesen/Nominalgruppen/der_dicke_Kater.png;der dicke Kater;der dicke Kater;die dicke Kugel;der dunkle Kater;die dunkle Kugel;
assets/lernverlauf/02-lesen/Nominalgruppen/die_Rose_im_Glas.png;die Rose im Glas;die Rose im Garten;die Rose im Glas;die Dose im Garten;die Dose im Glas;
assets/lernverlauf/02-lesen/Nominalgruppen/die_Zange_auf_der_Nase.png;die Zange auf der Nase;der Zapfen zwischen den Zähnen;der Zapfen auf der Nase;die Zange zwischen den Zähnen;die Zange auf der Nase;
assets/lernverlauf/02-lesen/Nominalgruppen/der_Riese_zwischen_den_Baeumen.png;der Riese zwischen den Bäumen;der Riese zwischen den Bäumen;der Riese zwischen den Autos;die Wiese zwischen den Bäumen;die Wiese zwischen den Autos;
