correctWord;audio
gute;assets/lernverlauf/audios/L1_Wortschreiben/File_163_Wortschreiben_Aufgabe_1.mp3;
Regen;assets/lernverlauf/audios/L1_Wortschreiben/File_164_Wortschreiben_Aufgabe_2.mp3;
Nadel;assets/lernverlauf/audios/L1_Wortschreiben/File_165_Wortschreiben_Aufgabe_3.mp3;
gegen;assets/lernverlauf/audios/L1_Wortschreiben/File_166_Wortschreiben_Aufgabe_4.mp3;
Wiese;assets/lernverlauf/audios/L1_Wortschreiben/File_167_Wortschreiben_Aufgabe_5.mp3;
Diebe;assets/lernverlauf/audios/L1_Wortschreiben/File_168_Wortschreiben_Aufgabe_6.mp3;
Hunde;assets/lernverlauf/audios/L1_Wortschreiben/File_169_Wortschreiben_Aufgabe_7.mp3;
Mantel;assets/lernverlauf/audios/L1_Wortschreiben/File_170_Wortschreiben_Aufgabe_8.mp3;
denken;assets/lernverlauf/audios/L1_Wortschreiben/File_171_Wortschreiben_Aufgabe_9.mp3;
Kater;assets/lernverlauf/audios/L1_Wortschreiben/File_172_Wortschreiben_Aufgabe_10.mp3;
Kinder;assets/lernverlauf/audios/L1_Wortschreiben/File_173_Wortschreiben_Aufgabe_11.mp3;
dunkel;assets/lernverlauf/audios/L1_Wortschreiben/File_174_Wortschreiben_Aufgabe_12.mp3;
