correctWord;audio
gute;assets/lernverlauf/audios/L1_Wortschreiben/File_163_Wortschreiben_Aufgabe_1.mp3;
Regen;assets/lernverlauf/audios/L1_Wortschreiben/File_164_Wortschreiben_Aufgabe_2.mp3;
Nadel;assets/lernverlauf/audios/L1_Wortschreiben/File_165_Wortschreiben_Aufgabe_3.mp3;
gegen;assets/lernverlauf/audios/L1_Wortschreiben/File_166_Wortschreiben_Aufgabe_4.mp3;
Wiese;assets/lernverlauf/audios/L1_Wortschreiben/File_167_Wortschreiben_Aufgabe_5.mp3;
Diebe;assets/lernverlauf/audios/L1_Wortschreiben/File_168_Wortschreiben_Aufgabe_6.mp3;
Hunde;assets/lernverlauf/audios/L1_Wortschreiben/File_169_Wortschreiben_Aufgabe_7.mp3;
Mantel;assets/lernverlauf/audios/L1_Wortschreiben/File_170_Wortschreiben_Aufgabe_8.mp3;
denken;assets/lernverlauf/audios/L1_Wortschreiben/File_171_Wortschreiben_Aufgabe_9.mp3;
Kater;assets/lernverlauf/audios/L1_Wortschreiben/File_172_Wortschreiben_Aufgabe_10.mp3;
Kinder;assets/lernverlauf/audios/L1_Wortschreiben/File_173_Wortschreiben_Aufgabe_11.mp3;
dunkel;assets/lernverlauf/audios/L1_Wortschreiben/File_174_Wortschreiben_Aufgabe_12.mp3;
lernen;assets/lernverlauf/audios/L1_Wortschreiben/File_175_Wortschreiben_Aufgabe_13.mp3;
Daumen;assets/lernverlauf/audios/L1_Wortschreiben/File_176_Wortschreiben_Aufgabe_14.mp3;
Käfer;assets/lernverlauf/audios/L1_Wortschreiben/File_177_Wortschreiben_Aufgabe_15.mp3;
Spaten;assets/lernverlauf/audios/L1_Wortschreiben/File_178a_Wortschreiben_Aufgabe_16.mp3;
schwarze;assets/lernverlauf/audios/L1_Wortschreiben/File_178b_Wortschreiben_Aufgabe_17.mp3;
Frösche;assets/lernverlauf/audios/L1_Wortschreiben/File_179_Wortschreiben_Aufgabe_18.mp3
