correctWord;audio
Reise;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben1_Aufgabe1_Reise.mp3
Nadel;assets/lernverlauf/audios/L1_Wortschreiben/File_165_Wortschreiben_Aufgabe_3.mp3
Daumen;assets/lernverlauf/audios/L1_Wortschreiben/File_176_Wortschreiben_Aufgabe_14.mp3
Tulpe;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben1_Aufgabe8_Tulpe.mp3
mantel;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben1_Aufgabe9_Mantel.mp3
denken;assets/lernverlauf/audios/L1_Wortschreiben/File_171_Wortschreiben_Aufgabe_9.mp3
dunkel;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben1_Aufgabe11_dunkel.mp3
Kater;assets/lernverlauf/audios/L1_Wortschreiben/File_172_Wortschreiben_Aufgabe_10.mp3
Bilder;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben1_Aufgabe13_Bilder.mp3
Kerne;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben1_Aufgabe14_Kerne.mp3
Körper;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben1_Aufgabe15_Koerper.mp3
Diebe;assets/lernverlauf/audios/L1_Wortschreiben/File_168_Wortschreiben_Aufgabe_6.mp3
Fieber;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben1_Aufgabe17_Fieber.mp3
Käfer;assets/lernverlauf/audios/L1_Wortschreiben/File_177_Wortschreiben_Aufgabe_15.mp3
Jäger;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben2_Aufgabe16_Jaeger.mp3
Zweige;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben2_Aufgabe17_Zweige.mp3
kranke;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben2_Aufgabe18_kranke.mp3
Spaten;assets/lernverlauf/audios/L1_Wortschreiben/File_178a_Wortschreiben_Aufgabe_16.mp3
Sterne;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben2_Aufgabe20_Sterne.mp3
Träne;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben2_Aufgabe21_Traene.mp3
später;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben2_Aufgabe22_spaeter.mp3
Keller;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben2_Aufgabe23_Keller.mp3
Lippen;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben2_Aufgabe24_Lippen.mp3
Rüssel;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben2_Aufgabe25_Ruessel.mp3
treffen;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben2_Aufgabe26_treffen.mp3
stellen;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben2_Aufgabe27_stellen.mp3
setzen;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben2_Aufgabe28_setzen.mp3
schützen;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben2_Aufgabe29_schuetzen.mp3
Blitze;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben2_Aufgabe30_Blitze.mp3
Spitze;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben2_Aufgabe31_Spitze.mp3
Wecker;assets/lernverlauf/audios/L1_Wortschreiben/File_184_Wortschreiben_Aufgabe_23.mp3
Rücken;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben2_Aufgabe33_Ruecken.mp3
Brücke;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben2_Aufgabe34_Bruecke.mp3
stecken;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben2_Aufgabe35_stecken.mp3
Fohlen;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben2_Aufgabe36_Fohlen.mp3
Bühne;assets/lernverlauf/audios/L1_Wortschreiben/Schnapp_Schreiben2_Aufgabe37_Buehne.mp3
