correctWord;audio
Schnüre;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Schnuere.mp3;
Schuhe;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Schuhe.mp3;
Schule;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Schule.mp3;
Schüler;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Schueler.mp3;
Schwarze;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Schwarze.mp3;
Sessel;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Sessel.mp3;
Singen;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Singen.mp3;
Sitzen;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Sitzen.mp3;
Später;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Spaeter.mp3;
Spritze;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Spritze.mp3;
Sterne;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Sterne.mp3;
Stunde;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Stunde.mp3;
Suchen;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Suchen.mp3;
Tafel;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Tafel.mp3;
Träne;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Traene.mp3;
Trauben;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Trauben.mp3;
Truhe;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Truhe.mp3;
Tulpe;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Tulpe.mp3;
Wiese;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Wiese.mp3;
Wimper;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Wimper.mp3;
Winken;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Winken.mp3;
Zelte;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Zelte.mp3;
