correctWord;audio
Ampel;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Ampel.mp3;
Bäume;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Baeume.mp3;
Beiden;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Beiden.mp3;
Besten;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Besten.mp3;
Biene;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Biene.mp3;
Bilder;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Bilder.mp3;
Birne;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Birne.mp3;
Bitte;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Bitte.mp3;
Bleiben;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Bleiben.mp3;
Blume;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Blume.mp3;
Bombe;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Bombe.mp3;
Bühne;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Buehne.mp3;
Dachte;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Dachte.mp3;
Decke;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Decke.mp3;
Denken;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Denken.mp3;
Dunkel;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Dunkel.mp3;
Eltern;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Eltern.mp3;
Enkel;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Enkel.mp3;
Feder;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Feder.mp3;
Felsen;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Felsen.mp3;
Gegen;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Gegen.mp3;
Glocke;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Glocke.mp3;
Gute;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Gute.mp3;
Heute;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Heute.mp3;
Hunde;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Hunde.mp3;
Käse;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Kaese.mp3;
Kater;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Kater.mp3;
Kaufen;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Kaufen.mp3;
Kinder;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Kinder.mp3;
Kirsche;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Kirsche.mp3;
Klasse;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Klasse.mp3;
Knochen;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Knochen.mp3;
Koffer;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Koffer.mp3;
Köpfe;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Koepfe.mp3;
Krone;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Krone.mp3;
Kuchen;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Kuchen.mp3;
Kugel;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Kugel.mp3;
Lachte;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Lachte.mp3;
Lehrer;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Lehrer.mp3;
Leider;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Leider.mp3;
Lenker;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Lenker.mp3;
Lernen;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Lernen.mp3;
Liege;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Liege.mp3;
Löwe;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Loewe.mp3;
Lupe;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Lupe.mp3;
Maler;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Maler.mp3;
Mantel;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Mantel.mp3;
Mappe;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Mappe.mp3;
Maske;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Maske.mp3;
Meter;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Meter.mp3;
Morgen;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Morgen.mp3;
Nagel;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Nagel.mp3;
Nase;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Nase.mp3;
Nehmen;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Nehmen.mp3;
Onkel;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Onkel.mp3;
Pfanne;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Pfanne.mp3;
Pinsel;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Pinsel.mp3;
Pute;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Pute.mp3;
Räuber;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Raeuber.mp3;
Reihe;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Reihe.mp3;
Riese;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Riese.mp3;
Rose;assets/lernverlauf/audios/L1_Wortschatzvalidierung/Rose.mp3;
